ont,gene
SPATA_RadialGlia,PLA2G16
SPATA_RadialGlia,AQP4
SPATA_RadialGlia,SCD5
SPATA_RadialGlia,MARCKSL1
SPATA_RadialGlia,SELENOP
SPATA_RadialGlia,ITM2C
SPATA_RadialGlia,DNER
SPATA_RadialGlia,TTYH1
SPATA_RadialGlia,NTRK2
SPATA_RadialGlia,RGCC
SPATA_RadialGlia,MSMP
SPATA_RadialGlia,FAM107A
SPATA_RadialGlia,NDRG2
SPATA_RadialGlia,PLPP3
SPATA_NeuronalDiff,HSP90AA1
SPATA_NeuronalDiff,ATP5F1E
SPATA_NeuronalDiff,HSP90AB1
SPATA_NeuronalDiff,CFL1
SPATA_NeuronalDiff,TUBA1B
SPATA_NeuronalDiff,PPIA
SPATA_NeuronalDiff,ENO2
SPATA_NeuronalDiff,GAP43
SPATA_NeuronalDiff,DPYSL2
SPATA_NeuronalDiff,GNAS
SPATA_NeuronalDiff,UQCR11
SPATA_NeuronalDiff,PSAP
SPATA_NeuronalDiff,NRN1
SPATA_NeuronalDiff,LMO4
SPATA_NeuronalDiff,SKP1
SPATA_NeuronalDiff,COPS9
SPATA_NeuronalDiff,NPY
SPATA_NeuronalDiff,SST
SPATA_NeuronalDiff,TAC1
SPATA_NeuronalDiff,PENK
SPATA_NeuronalDiff,CRHBP
SPATA_NeuronalDiff,CORT
SPATA_NeuronalDiff,NOS1
SPATA_NeuronalDiff,GHRH
SPATA_NeuronalDiff,COX4I1
SPATA_NeuronalDiff,OAZ1
SPATA_NeuronalDiff,UQCRQ
SPATA_NeuronalDiff,COX7C
SPATA_NeuronalDiff,ATP1A1
SPATA_NeuronalDiff,GPX4
SPATA_NeuronalDiff,HOPX
SPATA_NeuronalDiff,UQCR10
SPATA_NeuronalDiff,ATP5ME
SPATA_NeuronalDiff,SCG2
SPATA_NeuronalDiff,SLC25A6
SPATA_NeuronalDiff,NDUFA5
SPATA_NeuronalDiff,PFN2
SPATA_NeuronalDiff,YWHAE
SPATA_NeuronalDiff,HBA2
SPATA_NeuronalDiff,SPTBN1
SPATA_NeuronalDiff,HBB
SPATA_NeuronalDiff,MORF4L1
SPATA_NeuronalDiff,COX6B1
